block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block27,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07
block27,vastimo,CVC,CVC,jor,nonword,match,jor,vas,filler08
block27,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09
block28,murepla,CV,CVC,mur,nonword,mismatch,mur,mur,critical
block28,poncilla,CVC,CVC,mur,nonword,match,mur,pon,filler01
block28,sobisco,CV,CVC,mur,nonword,mismatch,mur,sob,filler02
block28,nocena,CV,CVC,mur,nonword,mismatch,mur,noc,filler03
block28,fascuna,CVC,CVC,mur,nonword,match,mur,fas,filler04
block28,vantema,CVC,CVC,mur,nonword,match,mur,van,filler05
block28,fañeilla,CV,CVC,mur,nonword,mismatch,mur,fañ,filler06
block28,costonche,CVC,CVC,mur,nonword,match,mur,cos,filler07
block28,deciro,CV,CVC,mur,nonword,mismatch,mur,dec,filler08
block28,tenguga,CVC,CVC,mur,nonword,match,mur,ten,filler09
block29,cerliza,CVC,CVC,cer,nonword,match,cer,cer,critical
block29,dimena,CV,CVC,cer,nonword,mismatch,cer,dim,filler01
block29,vangurdo,CVC,CVC,cer,nonword,match,cer,van,filler02
block29,gantina,CVC,CVC,cer,nonword,match,cer,gan,filler03
block29,nuseto,CV,CVC,cer,nonword,mismatch,cer,nus,filler04
block29,zaldizo,CVC,CVC,cer,nonword,match,cer,zal,filler05
block29,naverdo,CV,CVC,cer,nonword,mismatch,cer,nav,filler06
block29,tolina,CV,CVC,cer,nonword,mismatch,cer,tol,filler07
block29,tivencio,CV,CVC,cer,nonword,mismatch,cer,tiv,filler08
block29,lisbombre,CVC,CVC,cer,nonword,match,cer,lis,filler09
block30,garventa,CVC,CVC,gar,nonword,match,gar,gar,critical
block30,dezida,CV,CVC,gar,nonword,mismatch,gar,dez,filler01
block30,dinona,CV,CVC,gar,nonword,mismatch,gar,din,filler02
block30,sucema,CV,CVC,gar,nonword,mismatch,gar,suc,filler03
block30,puscalla,CVC,CVC,gar,nonword,match,gar,pus,filler04
block30,cicisa,CV,CVC,gar,nonword,mismatch,gar,cic,filler05
block30,binima,CV,CVC,gar,nonword,mismatch,gar,bin,filler06
block30,fensuale,CVC,CVC,gar,nonword,match,gar,fen,filler07
block30,suñuela,CV,CVC,gar,nonword,mismatch,gar,suñ,filler08
block30,punfullo,CVC,CVC,gar,nonword,match,gar,pun,filler09
block31,jorteda,CVC,CVC,jor,nonword,match,jor,jor,critical
block31,balzalla,CVC,CVC,jor,nonword,match,jor,bal,filler01
block31,fimegra,CV,CVC,jor,nonword,mismatch,jor,fim,filler02
block31,dulcura,CVC,CVC,jor,nonword,match,jor,dul,filler03
block31,zuscura,CVC,CVC,jor,nonword,match,jor,zus,filler04
block31,nafiaca,CV,CVC,jor,nonword,mismatch,jor,naf,filler05
block31,binero,CV,CVC,jor,nonword,mismatch,jor,bin,filler06
block31,puljida,CVC,CVC,jor,nonword,match,jor,pul,filler07
block31,tanera,CV,CVC,jor,nonword,mismatch,jor,tan,filler08
block31,vuzarda,CV,CVC,jor,nonword,mismatch,jor,vuz,filler09
block32,murdallo,CVC,CVC,mur,nonword,match,mur,mur,critical
block32,poncilla,CVC,CVC,mur,nonword,match,mur,pon,filler01
block32,sobisco,CV,CVC,mur,nonword,mismatch,mur,sob,filler02
block32,deciro,CV,CVC,mur,nonword,mismatch,mur,dec,filler03
block32,fascuna,CVC,CVC,mur,nonword,match,mur,fas,filler04
block32,hobita,CV,CVC,mur,nonword,mismatch,mur,hob,filler05
block32,fañeilla,CV,CVC,mur,nonword,mismatch,mur,fañ,filler06
block32,costonche,CVC,CVC,mur,nonword,match,mur,cos,filler07
block32,nocena,CV,CVC,mur,nonword,mismatch,mur,noc,filler08
block32,tenguga,CVC,CVC,mur,nonword,match,mur,ten,filler09
