block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block16,sutnido,CVC,CVC,nonword,match,lin,sut,filler09,None
block17,peseta,CV,CV,word,match,pes,pes,critical,1
block17,langosta,CVC,CV,word,mismatch,pes,lan,filler01,None
block17,jilguero,CVC,CV,word,mismatch,pes,jil,filler02,None
block17,gordura,CVC,CV,word,mismatch,pes,gor,filler03,None
block17,doncella,CVC,CV,word,mismatch,pes,don,filler04,None
block17,fantoche,CVC,CV,word,mismatch,pes,fan,filler05,None
block17,laguna,CV,CV,word,match,pes,lag,filler06,None
block17,jacinto,CV,CV,word,match,pes,jac,filler07,None
block17,duquesa,CV,CV,word,match,pes,duq,filler08,None
block17,dominio,CV,CV,word,match,pes,dom,filler09,None
block18,pestaña,CVC,CV,word,mismatch,pes,pes,critical,1
block18,langosta,CVC,CV,word,mismatch,pes,lan,filler01,None
block18,jilguero,CVC,CV,word,mismatch,pes,jil,filler02,None
block18,gordura,CVC,CV,word,mismatch,pes,gor,filler03,None
block18,cigarro,CV,CV,word,match,pes,cig,filler04,None
block18,fantoche,CVC,CV,word,mismatch,pes,fan,filler05,None
block18,laguna,CV,CV,word,match,pes,lag,filler06,None
block18,jacinto,CV,CV,word,match,pes,jac,filler07,None
block18,duquesa,CV,CV,word,match,pes,duq,filler08,None
block18,dominio,CV,CV,word,match,pes,dom,filler09,None
block19,peseta,CV,CVC,word,mismatch,pes,pes,critical,1
block19,tardanza,CVC,CVC,word,match,pes,tar,filler01,None
block19,tornillo,CVC,CVC,word,match,pes,tor,filler02,None
block19,ruptura,CVC,CVC,word,match,pes,rup,filler03,None
block19,durmiente,CVC,CVC,word,match,pes,dur,filler04,None
block19,burbuja,CVC,CVC,word,match,pes,bur,filler05,None
block19,viruela,CV,CVC,word,mismatch,pes,vir,filler06,None
block19,lavabo,CV,CVC,word,mismatch,pes,lav,filler07,None
block19,butaca,CV,CVC,word,mismatch,pes,but,filler08,None
block19,ribera,CV,CVC,word,mismatch,pes,rib,filler09,None
block20,pestaña,CVC,CVC,word,match,pes,pes,critical,1
