"Word","Match","Nonword","Nonword_Concat","Rand"
"me-di-da","se-va-da","sevada","sevada","0.5056718045378932"
"me-di-da","se-ma-da","semada","semada","0.8546550759282695"
"me-di-da","se-ba-da","sebada","sebada","0.043971476972814116"
"me-di-da","se-na-da","senada","senada","0.5001351376590207"
"me-di-da","se-pa-da","sepada","sepada","0.38221381776301633"
"me-di-da","se-ga-da","segada","segada","0.12041667136722034"
"me-di-da","pe-va-da","pevada","pevada","0.9756050050172482"
"me-di-da","pe-ma-da","pemada","pemada","0.483573358470072"
"me-di-da","pe-ba-da","pebada","pebada","0.9978535369464585"
"me-di-da","pe-pa-da","pepada","pepada","0.11446159075361817"
"ro-ma-no","so-si-no","sosino","sosino","0.9708148554688029"
"ro-ma-no","so-ni-no","sonino","sonino","0.535542503250563"
"ro-ma-no","do-si-no","dosino","dosino","0.8094748293539895"
"ro-ma-no","do-ni-no","donino","donino","0.28371717075225666"
"ro-ma-no","so-ci-no","socino","socino","0.8755116006028235"
"ro-ma-no","so-ri-no","sorino","sorino","0.3505406797220031"
"ro-ma-no","so-di-no","sodino","sodino","0.9334079651728789"
"ro-ma-no","do-ci-no","docino","docino","0.667244074219993"
"ro-ma-no","do-ri-no","dorino","dorino","0.870754789021449"
"ro-ma-no","do-di-no","dodino","dodino","0.15117684676117693"
"ca-si-no","ca-ci-ra","cacira","cacira","0.1054514464652897"
"ca-si-no","ca-ci-ca","cacica","cacica","0.43036896380337764"
"ca-si-no","ca-ca-ro","cacaro","cacaro","0.25509173866977686"
"ca-si-no","ca-ca-co","cacaco","cacaco","0.4979709733845643"
"ca-si-no","ca-ca-to","cacato","cacato","0.9253968133597383"
"ca-si-no","ca-va-ro","cavaro","cavaro","0.41097689373966884"
"ca-si-no","ca-va-co","cavaco","cavaco","0.01118433966364818"
"ca-si-no","ca-va-to","cavato","cavato","0.5143483261579761"
"ca-si-no","ca-vi-ra","cavira","cavira","0.07495431402524433"
"ca-si-no","ca-vi-ca","cavica","cavica","0.4049230083875376"
"he-ri-da","ne-ca-da","necada","necada","0.1918156217717183"
"he-ri-da","ne-la-da","nelada","nelada","0.9047276013107092"
"he-ri-da","ne-sa-da","nesada","nesada","0.4722898288596442"
"he-ri-da","ne-ma-da","nemada","nemada","0.001344779973305621"
"he-ri-da","ne-na-da","nenada","nenada","0.9587405387265376"
"he-ri-da","fe-ca-da","fecada","fecada","0.50140904877706"
"he-ri-da","fe-la-da","felada","felada","0.4949471711760671"
"he-ri-da","fe-sa-da","fesada","fesada","0.5800451808832755"
"he-ri-da","fe-ma-da","femada","femada","0.32436428425871144"
"he-ri-da","fe-na-da","fenada","fenada","0.5233160482128802"
"mo-ne-da","so-ce-do","socedo","socedo","0.6841517865810822"
"mo-ne-da","so-ve-do","sovedo","sovedo","0.9655000806863108"
