,Word,transcription,corrAns,sylStruc,initialSylStress,wordStatus,source,freq_WPM,DerivedWord,Condition,counter,numRevealed,masking,Length,PrimeCalc,Prime,matching
81,lorato,lo.ˈɾa.to,4,CV,no,nonword,Wuggy,,bo-ni-to,A,82.0,3.0,######,6.0,lor###,lor###,mismatch
82,sociro,so.ˈsi.ro,4,CV,no,nonword,Wuggy,,mo-li-no,A,83.0,3.0,######,6.0,soc###,por###,mismatch
83,rucema,ru.ˈse.ma,4,CV,no,nonword,Wuggy,,pu-re-za,A,84.0,3.0,######,6.0,ruc###,ruc###,mismatch
84,coloto,ko.ˈlo.to,4,CV,no,nonword,Wuggy,,co-ro-na,A,85.0,3.0,######,6.0,col###,col###,mismatch
85,vamito,ba.ˈmi.to,4,CV,no,nonword,Wuggy,,ba-ra-to,A,86.0,3.0,######,6.0,vam###,vam###,mismatch
86,merido,mɛ.ˈɾi.ðo,4,CV,no,nonword,Wuggy,,pe-sa-do,A,87.0,3.0,######,6.0,mer###,mer###,mismatch
87,tovera,to.ˈβɛ.ɾa,4,CV,no,nonword,Wuggy,,do-ce-na,A,88.0,3.0,######,6.0,tov###,tov###,mismatch
88,sevoco,se.ˈβo.ko,4,CV,no,nonword,Wuggy,,pe-no-so,A,89.0,3.0,######,6.0,sev###,sev###,mismatch
89,deveso,de.ˈβe.so,4,CV,no,nonword,Wuggy,,re-ce-lo,A,90.0,3.0,######,6.0,dev###,dev###,mismatch
90,taruna,ta.ˈɾu.na,4,CV,no,nonword,Wuggy,,ba-su-ra,A,91.0,2.0,######,6.0,ta####,ta####,match
91,cemoca,se.ˈmo.ka,4,CV,no,nonword,Wuggy,,ce-lo-so,A,92.0,2.0,######,6.0,ce####,ce####,match
92,nocala,no.ˈka.la,4,CV,no,nonword,Wuggy,,go-ri-la,A,93.0,2.0,######,6.0,no####,no####,match
93,sarena,sa.ˈɾe.na,4,CV,no,nonword,Wuggy,,ma-le-ta,A,94.0,2.0,######,6.0,sa####,sa####,match
94,sadido,sa.ˈði.ðo,4,CV,no,nonword,Wuggy,,pa-ra-do,A,95.0,2.0,######,6.0,sa####,sa####,match
95,dedasa,de.ˈða.sa,4,CV,no,nonword,Wuggy,,re-sa-ca,A,96.0,2.0,######,6.0,de####,de####,match
96,rarido,ra.ˈri.ðo,4,CV,no,nonword,Wuggy,,sa-la-do,A,97.0,2.0,######,6.0,ra####,ta####,match
97,mesido,me.ˈsi.ðo,4,CV,no,nonword,Wuggy,,se-na-do,A,98.0,2.0,######,6.0,me####,me####,match
98,tacigo,ta.ˈsi.ɣo,4,CV,no,nonword,Wuggy,,ta-ma-ño,A,99.0,2.0,######,6.0,ta####,ta####,match
99,vamama,ba.ˈma.ma,4,CV,no,nonword,Wuggy,,va-si-ja,A,100.0,2.0,######,6.0,va####,va####,match
100,pemada,pe.ˈma.ða,4,CV,no,nonword,Wuggy,,me-di-da,A,101.0,3.0,######,6.0,pem###,pem###,mismatch
101,dorino,do.ˈɾi.no,4,CV,no,nonword,Wuggy,,ro-ma-no,A,102.0,3.0,######,6.0,dor###,dor###,mismatch
102,cavaro,ka.ˈβa.ɾo,4,CV,no,nonword,Wuggy,,ca-si-no,A,103.0,3.0,######,6.0,cav###,cav###,mismatch
103,nenada,ne.ˈna.ða,4,CV,no,nonword,Wuggy,,he-ri-da,A,104.0,3.0,######,6.0,nen###,nen###,mismatch
104,sotedo,so.ˈte.ðo,4,CV,no,nonword,Wuggy,,mo-ne-da,A,105.0,3.0,######,6.0,sot###,sot###,mismatch
105,secino,se.ˈsi.no,4,CV,no,nonword,Wuggy,,de-li-to,A,106.0,3.0,######,6.0,sec###,sec###,mismatch
106,fasido,fa.ˈsi.ðo,4,CV,no,nonword,Wuggy,,ga-na-do,A,107.0,3.0,######,6.0,fas###,fas###,mismatch
107,baruda,ba.ˈɾu.ða,4,CV,no,nonword,Wuggy,,sa-lu-do,A,108.0,3.0,######,6.0,bar###,bar###,mismatch
108,maroba,ma.ˈɾo.βa,4,CV,no,nonword,Wuggy,,pa-lo-ma,A,109.0,3.0,######,6.0,mar###,mar###,mismatch
109,lumino,lu.ˈmi.no,4,CV,no,nonword,Wuggy,,gu-sa-no,A,110.0,3.0,######,6.0,lum###,lum###,mismatch
110,cacica,ka.ˈsi.ka,4,CV,no,nonword,Wuggy,,ca-se-ta,A,111.0,2.0,######,6.0,ca####,ca####,match
111,sinebo,si.ˈne.βo,4,CV,no,nonword,Wuggy,,di-se-ño,A,112.0,2.0,######,6.0,si####,si####,match
112,nanana,na.ˈna.na,4,CV,no,nonword,Wuggy,,ha-ri-na,A,113.0,2.0,######,6.0,na####,na####,match
113,selero,se.ˈlɛ.ɾo,4,CV,no,nonword,Wuggy,,me-le-na,A,114.0,2.0,######,6.0,se####,se####,match
114,masapo,ma.ˈsa.po,4,CV,no,nonword,Wuggy,,pa-si-vo,A,115.0,2.0,######,6.0,ma####,ma####,match
115,docido,do.ˈsi.ðo,4,CV,no,nonword,Wuggy,,ro-sa-do,A,116.0,2.0,######,6.0,do####,do####,match
116,saraja,sa.ˈɾa.xa,4,CV,no,nonword,Wuggy,,sa-li-va,A,117.0,2.0,######,6.0,sa####,sa####,match
117,toceno,to.ˈsɛ.no,4,CV,no,nonword,Wuggy,,so-ne-to,A,118.0,2.0,######,6.0,to####,to####,match
