,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
384,repisa,1.6105769230769231,CV,0.0,shelf; ledge,,Keep
385,requiebro,0.53,CV,0.0,flirtatious remark,requiebro lex freq. is from LEXESP in NIM,Keep
386,resabio,1.244,CV,8.0,aftertaste; bad habit,resabio lex freq. is from LEXESP in NIM,Keep
387,respuesta,111.6346153846154,CVC,8.0,answer,,Keep
388,ribazo,0.5329999999999999,CV,8.0,steep bank,ribazo lex freq. is from LEXESP in NIM,Keep
389,ribera,1.1298076923076923,CV,8.0,river bank,,Keep
390,rimero,0.711,CV,8.0,pile; stack,rimero lex freq. is from LEXESP in NIM,Keep
391,riqueza,7.6923076923076925,CV,8.0,wealth,,Keep
392,rivera,5.1923076923076925,CV,8.0,stream; brook,,Keep
393,ronquera,0.71,CVC,0.0,hoarseness,ronquera lex freq. is from LEXESP in NIM,Keep
394,ropero,2.4519230769230766,CV,8.0,wardrobe,,Keep
395,rudeza,0.3846153846153846,CV,8.0,roughness; coarseness,,Keep
396,ruleta,2.043269230769231,CV,0.0,roulette,,Keep
397,rumania,2.67,CV,0.0,Romania,rumania lex freq. is from LEXESP in NIM,Keep
398,rumiante,0.16826923076923075,CV,0.0,ruminant,,Keep
399,ruptura,6.7788461538461515,CVC,8.0,break; breach,,Keep
400,rutina,17.379807692307693,CV,0.0,routine,,Keep
401,sadismo,0.40865384615384615,CV,0.0,sadism,,Keep
402,safari,1.971153846153846,CV,0.0,safari,,Keep
403,sagrario,0.07211538461538461,CVC,0.0,tabernacle,,Keep
404,salchicha,11.610576923076925,CVC,8.0,sausage,,Keep
405,salero,0.7692307692307692,CV,4.0,Salt shaker,,Keep
406,saliente,0.6009615384615384,CV,0.0,salient,,Keep
407,salitre,0.1923076923076923,CV,0.0,saltpeter,,Keep
408,sandalia,0.5048076923076923,CVC,8.0,sandal,,Keep
409,sandía,2.2836538461538463,CVC,8.0,watermelon,,Keep
410,sarcasmo,3.774038461538461,CVC,8.0,sarcasm,,Keep
411,sardina,0.4326923076923077,CVC,0.0,sardine,,Keep
412,sargento,60.240384615384606,CVC,0.0,sergeant,,Keep
413,sarmiento,0.07211538461538461,CVC,8.0,vine shoot,,Keep
414,saturno,1.8028846153846156,CV,0.0,Saturn,,Keep
415,secano,1.244,CV,0.0,dry land,secano lex freq. is from LEXESP in NIM,Keep
416,secuela,0.673076923076923,CV,4.0,consequence,,Keep
417,semblanza,0.09615384615384616,CVC,4.0,biographical sketch,,Keep
418,semilla,6.1538461538461515,CV,8.0,seed,,Keep
419,senado,9.927884615384617,CV,0.0,senate,,Keep
420,sendero,7.283653846153847,CVC,2.0,path; trail,,Keep
421,sepelio,0.3365384615384615,CV,0.0,burial,,Keep
422,sepulcro,0.7932692307692307,CV,8.0,tomb,,Keep
423,serpiente,17.83653846153846,CVC,8.0,snake,,Keep
424,serrucho,0.40865384615384615,CVC,0.0,handsaw,,Keep
425,setiembre,0.625,CV,0.0,September,,Keep
426,sicario,0.673076923076923,CV,0.0,hitman,,Keep
427,silbato,4.759615384615384,CVC,0.0,whistle,,Keep
428,silbido,1.2019230769230769,CVC,4.0,whistle,,Keep
429,silicio,0.8413461538461539,CV,4.0,silicon,,Keep
430,sobaco,0.07211538461538461,CV,8.0,armpit,,Keep
431,soborno,4.7355769230769225,CV,4.0,bribe,,Keep
432,sobrina,10.552884615384617,CVC,0.0,niece,,Keep
433,sobrino,21.39423076923077,CVC,0.0,nephew,,Keep
